ID,IDADE,FAIXA IDADE,GENERO,COR/RACA/ETNIA,PCD,EXPERIENCIA_PROFISSIONAL_PREJUDICADA,ASPECTOS_PREJUDICADOS,VIVE_NO_BRASIL,ESTADO ONDE MORA,UF ONDE MORA,REGIAO ONDE MORA,MUDOU DE ESTADO?,REGIAO DE ORIGEM,NIVEL DE ENSINO,ÁREA DE FORMAÇÃO,QUAL SUA SITUAÇÃO ATUAL DE TRABALHO?,SETOR,NUMERO DE FUNCIONARIOS,GESTOR?,CARGO COMO GESTOR,CARGO ATUAL,FAIXA SALARIAL,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE DADOS VOCÊ TEM?,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE TI/ENGENHARIA DE SOFTWARE VOCÊ TEVE ANTES DE COMEÇAR A TRABALHAR NA ÁREA DE DADOS?,SALARIO,NOVO_NIVEL,NIVEL_Júnior,NIVEL_Pleno,NIVEL_Sênior,GEARACAO,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Você está satisfeito na sua empresa atual?,Qual o principal motivo da sua insatisfação com a empresa atual?,Você participou de entrevistas de emprego nos últimos 6 meses?,Você pretende mudar de emprego nos próximos 6 meses?,Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?,Atualmente qual a sua forma de trabalho?,Qual a forma de trabalho ideal para você?,Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?,Sua empresa passu por Layoff em 2022?,Atuacao,Quais das linguagens listadas abaixo você utiliza no trabalho?,EM_BUSCA,ABERTO_OPORTUNIDADES
zwy34gktg0tfjq2ttjvazwy34gg3g49i,25.0,25-29,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Varejo,de 101 a 500,0.0,,Analista de BI/BI Analyst,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,3450,Júnior,TRUE,FALSE,FALSE,Geração Z,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,FALSE,"Gostaria de receber mais benefícios, Falta de oportunidade de crescimento no emprego atual","Sim, fiz entrevistas mas não fui aprovado",Estou em busca de oportunidades dentro ou fora do Brasil,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou procurar outra oportunidade no modelo híbrido ou remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Análise de Dados,SQL,TRUE,FALSE
zwvpu2ssr2cr6g2jyzwvpu2dl5nfwa1f,33.0,30-34,Masculino,Branca,Não,,,TRUE,Rio Grande do Sul (RS),RS,Sul,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Educação,Acima de 3.000,0.0,,Analista de Inteligência de Mercado/Market Intelligence,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,11625,Sênior,FALSE,FALSE,TRUE,Millenial,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,"Sim, fui aprovado e mudei de emprego","Não estou buscando, mas me considero aberto a outras oportunidades","Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Qualidade dos gestores e líderes",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Análise de Dados,"SQL, R, Python",FALSE,TRUE
zwr9hqcpg513kaopenzwr9hibaqmldto,31.0,30-34,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,0.0,Nordeste,Doutorado ou Phd,Outras Engenharias,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,"7625,5",,FALSE,FALSE,FALSE,Millenial,,,,,,,,,,,,Buscando oportunidade na área de dados,,,
zwh83jpy6x40b95xigsr2zwh83jpflu3,24.0,22-24,Masculino,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Mato Grosso do Sul (MS),MS,Centro-oeste,1.0,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,0.0,,Analista de Negócios/Business Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,5296,Júnior,TRUE,FALSE,FALSE,Geração Z,de 1 a 2 anos,Menos de 1 ano,TRUE,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades","Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto,Modelo 100% remoto,Vou procurar outra oportunidade no modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Análise de Dados,"SQL, Python",FALSE,TRUE
zwez49k0jhdvfkfst4zwef137uuf4ivy,35.0,35-39,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia","Atenção dada pelas pessoas diante das minhas opiniões e ideias, Velocidade de progressão de carreira",TRUE,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Varejo,Acima de 3.000,0.0,,Analista de Negócios/Business Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,7416,Pleno,FALSE,TRUE,FALSE,Millenial,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,"Sim, fiz entrevistas mas não fui aprovado",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,"Propósito do trabalho e da empresa, Remuneração/Salário, Benefícios",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou procurar outra oportunidade no modelo híbrido ou remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Análise de Dados,SQL,FALSE,FALSE
zwb0kt7a8k0zwizwb0jgc78ez6e8j5iu,28.0,25-29,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Varejo,Acima de 3.000,0.0,,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,5774,Pleno,FALSE,TRUE,FALSE,Geração Z,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,"Sim, fiz entrevistas mas não fui aprovado","Não estou buscando, mas me considero aberto a outras oportunidades","Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Ambiente e clima de trabalho",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou aceitar e retornar ao modelo 100% presencial,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",Engenharia de Dados,"SQL, Python, Visual Basic/VBA",FALSE,TRUE
zwa1ilib041boopgo02awzwa1otup3fe,31.0,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Paraíba (PB),PB,Nordeste,1.0,,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 51 a 100,1.0,Supervisor/Coordenador,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,13531,Pessoa Gestora,FALSE,FALSE,FALSE,Millenial,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,"Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Modelo 100% remoto,Modelo 100% remoto,Vou procurar outra oportunidade no modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Gestor,,FALSE,FALSE
zw0x7ftf1pt8b469l86vswzzw0x7ftfq,29.0,25-29,Masculino,Branca,Não,,,TRUE,Mato Grosso (MT),MT,Centro-oeste,1.0,,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Servidor Público,Setor Público,Acima de 3.000,1.0,Team Leader/Tech Leader,,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,14922,Pessoa Gestora,FALSE,FALSE,FALSE,Geração Z,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Estou em busca de oportunidades dentro ou fora do Brasil,"Remuneração/Salário, Flexibilidade de trabalho remoto, Qualidade dos gestores e líderes",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Gestor,,TRUE,FALSE
zvxmpvomdin7czvxmitgmiu47m41ydje,28.0,25-29,Masculino,Branca,Não,,,TRUE,Minas Gerais (MG),MG,Sudeste,1.0,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,de 501 a 1.000,0.0,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,de 1 a 2 anos,7797,Pleno,FALSE,TRUE,FALSE,Geração Z,Menos de 1 ano,de 1 a 2 anos,TRUE,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Modelo 100% remoto,Vou procurar outra oportunidade no modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Engenharia de Dados,"SQL, Python, SAS/Stata",FALSE,FALSE
zvqn9oqa49zuuuvl6zvqn9gxfr6ac8ni,26.0,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",TRUE,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,de 501 a 1.000,0.0,,Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Menos de 1 ano,11905,Pleno,FALSE,TRUE,FALSE,Geração Z,de 3 a 4 anos,Menos de 1 ano,TRUE,,"Sim, fui aprovado mas decidi não mudar de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Análise de Dados,"SQL, Python",FALSE,FALSE
zvjk79wmrtb6zvz96nnjbfcx2xzlozg6,37.0,35-39,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Outras Engenharias,Empregado (CLT),Área da Saúde,de 101 a 500,1.0,Gerente/Head,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,24025,Pessoa Gestora,FALSE,FALSE,FALSE,Millenial,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,"Sim, fui aprovado e mudei de emprego","Não estou buscando, mas me considero aberto a outras oportunidades","Propósito do trabalho e da empresa, Remuneração/Salário, Flexibilidade de trabalho remoto",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou procurar outra oportunidade no modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Gestor,,FALSE,TRUE
zvc2hv0g7m97pxuh6aizvc2hv02r4xn9,33.0,30-34,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,0.0,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Outra Opção,de 1.001 a 3.000,1.0,Supervisor/Coordenador,,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,10098,Pessoa Gestora,FALSE,FALSE,FALSE,Millenial,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,TRUE,,"Sim, fui aprovado e mudei de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,"Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vou aceitar e retornar ao modelo 100% presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,Gestor,,FALSE,FALSE
